Intro,Freq,Simplified
,3,Other
--- Please Select Below ---,1,Other
Church,37,Familiar
Colleague / Professional Contact,78,Familiar
Colleague/Professional contact,4,Familiar
Event of school / company,47,External
Family,57,Familiar
Friend,3,Familiar
Friends,564,Familiar
Google Search,1,External
ICM Ambassador,13,ICM Ambassador
ICM Board of Directors/Advisors,187,ICM Board of Directors/Advisors
ICM Email,4,ICM Staff
ICM Event,978,ICM Event
ICM Staff,250,ICM Staff
ICM Trip,1,Trip
ICM Website / Blog,13,External
Newspaper / Magazine,1,External
Other,3797,Other
Other (Please specify),1,Other
Trip,195,Trip
Unknown,108,Other
